Training Starts
Iter 113 of 468 loss 0.6916, Img -0.0000,  Label 0.149211, Reg: 0.011411, SegX: 0.192962,SegY: 0.338027
Iter 114 of 468 loss 0.9028, Img -0.0000,  Label 0.224331, Reg: 0.011556, SegX: 0.281594,SegY: 0.385315
Iter 115 of 468 loss 0.6924, Img -0.0000,  Label 0.120913, Reg: 0.012533, SegX: 0.222552,SegY: 0.336441
Iter 116 of 468 loss 0.6700, Img -0.0000,  Label 0.088963, Reg: 0.013602, SegX: 0.286688,SegY: 0.280696
Iter 117 of 468 loss 0.5138, Img -0.0000,  Label 0.099591, Reg: 0.011764, SegX: 0.167073,SegY: 0.235421
Iter 118 of 468 loss 1.5801, Img -0.0000,  Label 0.644312, Reg: 0.013928, SegX: 0.449450,SegY: 0.472379
Iter 119 of 468 loss 0.7295, Img -0.0000,  Label 0.119157, Reg: 0.013759, SegX: 0.315787,SegY: 0.280758
Iter 120 of 468 loss 0.5081, Img -0.0000,  Label 0.107427, Reg: 0.014066, SegX: 0.164412,SegY: 0.222241
Iter 121 of 468 loss 1.3717, Img -0.0000,  Label 0.196613, Reg: 0.014437, SegX: 0.645869,SegY: 0.514793
Iter 122 of 468 loss 0.7218, Img -0.0000,  Label 0.137409, Reg: 0.013822, SegX: 0.292132,SegY: 0.278486
Iter 123 of 468 loss 0.8425, Img -0.0000,  Label 0.142667, Reg: 0.014092, SegX: 0.311750,SegY: 0.374002
Iter 124 of 468 loss 1.1478, Img -0.0000,  Label 0.128776, Reg: 0.013807, SegX: 0.529985,SegY: 0.475251
Iter 125 of 468 loss 0.8982, Img -0.0000,  Label 0.214321, Reg: 0.012591, SegX: 0.320025,SegY: 0.351234
Iter 126 of 468 loss 0.6171, Img -0.0000,  Label 0.090938, Reg: 0.014718, SegX: 0.272235,SegY: 0.239230
Iter 127 of 468 loss 0.7285, Img -0.0000,  Label 0.134758, Reg: 0.013242, SegX: 0.281694,SegY: 0.298781
Iter 128 of 468 loss 0.5890, Img -0.0000,  Label 0.118599, Reg: 0.014971, SegX: 0.193760,SegY: 0.261717
Iter 129 of 468 loss 1.1749, Img -0.0000,  Label 0.153466, Reg: 0.012925, SegX: 0.486917,SegY: 0.521599
Iter 130 of 468 loss 0.7690, Img -0.0000,  Label 0.172361, Reg: 0.013477, SegX: 0.257608,SegY: 0.325514
Iter 131 of 468 loss 0.6624, Img -0.0000,  Label 0.109136, Reg: 0.014913, SegX: 0.289100,SegY: 0.249201
Iter 132 of 468 loss 0.4254, Img -0.0000,  Label 0.066235, Reg: 0.014715, SegX: 0.172333,SegY: 0.172155
Iter 133 of 468 loss 0.5266, Img -0.0000,  Label 0.135309, Reg: 0.015342, SegX: 0.211535,SegY: 0.164365
Iter 134 of 468 loss 1.0415, Img -0.0000,  Label 0.311067, Reg: 0.013516, SegX: 0.322094,SegY: 0.394794
Iter 135 of 468 loss 0.6376, Img -0.0000,  Label 0.092368, Reg: 0.014651, SegX: 0.296034,SegY: 0.234547
Iter 136 of 468 loss 0.6328, Img -0.0000,  Label 0.087063, Reg: 0.014649, SegX: 0.277854,SegY: 0.253268
Iter 137 of 468 loss 0.6855, Img -0.0000,  Label 0.125094, Reg: 0.014715, SegX: 0.269797,SegY: 0.275849
Iter 138 of 468 loss 0.5289, Img -0.0000,  Label 0.104098, Reg: 0.015918, SegX: 0.209969,SegY: 0.198920
Iter 139 of 468 loss 0.5423, Img -0.0000,  Label 0.108093, Reg: 0.015041, SegX: 0.191018,SegY: 0.228167
Iter 140 of 468 loss 0.6378, Img -0.0000,  Label 0.166979, Reg: 0.014813, SegX: 0.199588,SegY: 0.256373
Iter 141 of 468 loss 0.4649, Img -0.0000,  Label 0.115469, Reg: 0.013666, SegX: 0.166024,SegY: 0.169753
Iter 142 of 468 loss 0.9044, Img -0.0000,  Label 0.089824, Reg: 0.013914, SegX: 0.434573,SegY: 0.366092
Iter 143 of 468 loss 0.7490, Img -0.0000,  Label 0.135846, Reg: 0.013684, SegX: 0.333705,SegY: 0.265767
Iter 144 of 468 loss 0.8810, Img -0.0000,  Label 0.232140, Reg: 0.015071, SegX: 0.373330,SegY: 0.260464
Iter 145 of 468 loss 0.9860, Img -0.0000,  Label 0.146191, Reg: 0.014575, SegX: 0.418883,SegY: 0.406304
Iter 146 of 468 loss 0.6597, Img -0.0000,  Label 0.093700, Reg: 0.015233, SegX: 0.282239,SegY: 0.268575
Iter 147 of 468 loss 0.3958, Img -0.0000,  Label 0.110087, Reg: 0.014112, SegX: 0.115345,SegY: 0.156304
Iter 148 of 468 loss 0.5817, Img -0.0000,  Label 0.149130, Reg: 0.014499, SegX: 0.158391,SegY: 0.259642
Iter 149 of 468 loss 0.4472, Img -0.0000,  Label 0.103965, Reg: 0.015154, SegX: 0.181524,SegY: 0.146527
Iter 150 of 468 loss 1.1624, Img -0.0000,  Label 0.380524, Reg: 0.015350, SegX: 0.269418,SegY: 0.497076
Iter 151 of 468 loss 0.4440, Img -0.0000,  Label 0.129862, Reg: 0.016104, SegX: 0.120120,SegY: 0.177923
Iter 152 of 468 loss 0.6266, Img -0.0000,  Label 0.197432, Reg: 0.015506, SegX: 0.215576,SegY: 0.198093
Iter 153 of 468 loss 0.7648, Img -0.0000,  Label 0.130400, Reg: 0.015916, SegX: 0.349536,SegY: 0.268899
Iter 154 of 468 loss 0.6777, Img -0.0000,  Label 0.149848, Reg: 0.013834, SegX: 0.265597,SegY: 0.248381
Iter 155 of 468 loss 0.7887, Img -0.0000,  Label 0.251703, Reg: 0.017250, SegX: 0.262939,SegY: 0.256770
Iter 156 of 468 loss 0.6320, Img -0.0000,  Label 0.177248, Reg: 0.017612, SegX: 0.231424,SegY: 0.205674
Iter 157 of 468 loss 0.6479, Img -0.0000,  Label 0.129857, Reg: 0.017479, SegX: 0.269562,SegY: 0.231036
Iter 158 of 468 loss 0.6613, Img -0.0000,  Label 0.135438, Reg: 0.016229, SegX: 0.278448,SegY: 0.231196
Iter 159 of 468 loss 0.4571, Img -0.0000,  Label 0.107924, Reg: 0.017565, SegX: 0.159310,SegY: 0.172293
Iter 160 of 468 loss 0.4621, Img -0.0000,  Label 0.107880, Reg: 0.018199, SegX: 0.162678,SegY: 0.173328
Iter 161 of 468 loss 0.4872, Img -0.0000,  Label 0.107153, Reg: 0.018519, SegX: 0.194490,SegY: 0.167018
Iter 162 of 468 loss 0.6740, Img -0.0000,  Label 0.158138, Reg: 0.016391, SegX: 0.267411,SegY: 0.232042
Iter 163 of 468 loss 0.6122, Img -0.0000,  Label 0.140943, Reg: 0.016797, SegX: 0.215567,SegY: 0.238862
Iter 164 of 468 loss 0.5321, Img -0.0000,  Label 0.132417, Reg: 0.017072, SegX: 0.200066,SegY: 0.182576
Iter 165 of 468 loss 0.7819, Img -0.0000,  Label 0.239674, Reg: 0.015016, SegX: 0.250651,SegY: 0.276609
Iter 166 of 468 loss 0.5043, Img -0.0000,  Label 0.134187, Reg: 0.017510, SegX: 0.193174,SegY: 0.159390
Iter 167 of 468 loss 0.4588, Img -0.0000,  Label 0.105834, Reg: 0.017732, SegX: 0.217076,SegY: 0.118160
Iter 168 of 468 loss 0.7588, Img -0.0000,  Label 0.227136, Reg: 0.018097, SegX: 0.258086,SegY: 0.255530
Iter 169 of 468 loss 0.5980, Img -0.0000,  Label 0.138090, Reg: 0.018045, SegX: 0.222694,SegY: 0.219204
Iter 170 of 468 loss 0.4952, Img -0.0000,  Label 0.113850, Reg: 0.019711, SegX: 0.188253,SegY: 0.173386
Iter 171 of 468 loss 0.5466, Img -0.0000,  Label 0.113405, Reg: 0.017084, SegX: 0.212294,SegY: 0.203853
Iter 172 of 468 loss 0.3679, Img -0.0000,  Label 0.109422, Reg: 0.017673, SegX: 0.120406,SegY: 0.120362
Iter 173 of 468 loss 0.5752, Img -0.0000,  Label 0.149310, Reg: 0.017801, SegX: 0.207759,SegY: 0.200292
Iter 174 of 468 loss 0.4489, Img -0.0000,  Label 0.141606, Reg: 0.018202, SegX: 0.118003,SegY: 0.171105
Iter 175 of 468 loss 0.5319, Img -0.0000,  Label 0.171755, Reg: 0.016359, SegX: 0.136848,SegY: 0.206908
Iter 176 of 468 loss 0.5119, Img -0.0000,  Label 0.078572, Reg: 0.017905, SegX: 0.257843,SegY: 0.157547
Iter 177 of 468 loss 0.3946, Img -0.0000,  Label 0.086169, Reg: 0.016281, SegX: 0.171974,SegY: 0.120165
Iter 178 of 468 loss 0.5711, Img -0.0000,  Label 0.116854, Reg: 0.015048, SegX: 0.232274,SegY: 0.206900
Iter 179 of 468 loss 0.8909, Img -0.0000,  Label 0.238142, Reg: 0.015182, SegX: 0.367187,SegY: 0.270399
Iter 180 of 468 loss 0.5885, Img -0.0000,  Label 0.152533, Reg: 0.015247, SegX: 0.219893,SegY: 0.200859
Iter 181 of 468 loss 0.4150, Img -0.0000,  Label 0.108885, Reg: 0.013428, SegX: 0.142553,SegY: 0.150099
Iter 182 of 468 loss 0.4355, Img -0.0000,  Label 0.079602, Reg: 0.015689, SegX: 0.209188,SegY: 0.131013
Iter 183 of 468 loss 0.5462, Img -0.0000,  Label 0.130829, Reg: 0.014170, SegX: 0.214392,SegY: 0.186792
